player_id,start_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
ojedaau01,2000,178,375.0,48.0,82.0,13.0,2.0,5.0,31.0,3.0,2.0,38.0,42.0,3.0,4.0,9.0,5.0,6.0
gonzaad01,2004,698,2576.0,401.0,724.0,153.0,8.0,137.0,424.0,1.0,2.0,322.0,547.0,60.0,18.0,2.0,20.0,80.0
murphda07,2006,560,1797.0,246.0,504.0,105.0,10.0,58.0,258.0,41.0,14.0,169.0,332.0,11.0,1.0,5.0,20.0,31.0
carrema01,1987,373,932.0,107.0,240.0,37.0,1.0,31.0,106.0,8.0,6.0,64.0,131.0,4.0,6.0,2.0,5.0,27.0
kotsama01,1997,740,2639.0,370.0,750.0,136.0,30.0,58.0,298.0,63.0,34.0,216.0,311.0,10.0,6.0,15.0,23.0,67.0
haselbi01,1990,175,404.0,55.0,95.0,21.0,2.0,11.0,50.0,3.0,3.0,33.0,72.0,0.0,4.0,3.0,5.0,12.0
hernara02,1999,706,2278.0,286.0,586.0,118.0,1.0,78.0,326.0,4.0,1.0,204.0,331.0,7.0,36.0,29.0,24.0,70.0
renteed01,1996,838,3205.0,477.0,895.0,144.0,14.0,49.0,310.0,164.0,64.0,281.0,486.0,9.0,16.0,52.0,33.0,92.0
cansejo01,1985,699,2644.0,425.0,715.0,124.0,7.0,165.0,525.0,96.0,40.0,292.0,718.0,25.0,27.0,1.0,35.0,57.0
melvibo01,1985,484,1448.0,140.0,331.0,63.0,6.0,30.0,156.0,4.0,13.0,74.0,286.0,8.0,0.0,16.0,10.0,38.0
grievbe01,1997,775,2780.0,412.0,756.0,168.0,5.0,106.0,439.0,24.0,5.0,390.0,666.0,15.0,37.0,1.0,11.0,96.0
pendlte01,1984,806,2986.0,358.0,785.0,135.0,22.0,38.0,384.0,92.0,43.0,222.0,372.0,30.0,5.0,18.0,29.0,80.0
andujjo01,1976,192,242.0,16.0,31.0,5.0,1.0,3.0,16.0,0.0,0.0,12.0,127.0,0.0,0.0,22.0,1.0,1.0
myersgr01,1987,248,690.0,63.0,164.0,38.0,1.0,14.0,72.0,0.0,2.0,50.0,101.0,4.0,0.0,2.0,9.0,31.0
roberda06,1972,455,1514.0,142.0,365.0,63.0,5.0,34.0,150.0,25.0,6.0,91.0,267.0,14.0,6.0,21.0,6.0,25.0
washiul01,1977,550,1742.0,225.0,458.0,69.0,22.0,20.0,177.0,76.0,37.0,167.0,237.0,2.0,0.0,27.0,17.0,26.0
easleda01,1992,522,1693.0,234.0,425.0,87.0,8.0,39.0,188.0,55.0,32.0,175.0,283.0,6.0,33.0,22.0,15.0,44.0
mathije01,2005,333,954.0,114.0,190.0,36.0,1.0,23.0,117.0,7.0,6.0,80.0,286.0,5.0,10.0,22.0,13.0,9.0
wohlfji01,1972,555,1672.0,212.0,431.0,54.0,20.0,7.0,144.0,68.0,53.0,136.0,202.0,6.0,7.0,25.0,18.0,32.0
piazzmi01,1992,689,2558.0,423.0,854.0,110.0,3.0,168.0,533.0,10.0,11.0,272.0,413.0,58.0,10.0,0.0,16.0,72.0
rodriiv01,1991,730,2667.0,347.0,761.0,158.0,11.0,68.0,340.0,19.0,13.0,143.0,330.0,19.0,20.0,14.0,24.0,77.0
winfida01,1973,796,2842.0,413.0,796.0,127.0,23.0,100.0,421.0,95.0,34.0,299.0,431.0,55.0,9.0,5.0,28.0,69.0
benzito01,1987,722,2341.0,257.0,593.0,115.0,14.0,50.0,317.0,19.0,28.0,149.0,430.0,29.0,12.0,17.0,28.0,34.0
cruzja01,1996,168,367.0,49.0,89.0,17.0,1.0,10.0,53.0,1.0,7.0,40.0,98.0,0.0,8.0,3.0,5.0,13.0
leeca01,1999,880,3328.0,533.0,957.0,192.0,10.0,152.0,552.0,64.0,26.0,255.0,501.0,12.0,26.0,3.0,34.0,78.0
jacobbr01,1981,460,1646.0,219.0,452.0,75.0,10.0,44.0,208.0,7.0,6.0,136.0,334.0,8.0,3.0,5.0,15.0,46.0
grosswa01,1976,607,1839.0,212.0,426.0,77.0,8.0,67.0,229.0,16.0,13.0,278.0,277.0,26.0,14.0,16.0,17.0,27.0
hootobu01,1971,193,334.0,17.0,36.0,6.0,0.0,2.0,21.0,0.0,1.0,24.0,144.0,0.0,2.0,43.0,2.0,3.0
whitero02,1993,529,1927.0,285.0,551.0,115.0,17.0,68.0,266.0,73.0,29.0,140.0,342.0,6.0,28.0,3.0,13.0,50.0
