player_id,end_year,g,ab,r,h,double,triple,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,g_idp
stubbfr01,1995,403,1214.0,157.0,289.0,61.0,5.0,45.0,170.0,43.0,19.0,129.0,280.0,10.0,6.0,6.0,9.0,13.0
griffke02,2010,1826,6621.0,1144.0,1809.0,330.0,19.0,458.0,1293.0,96.0,28.0,938.0,1302.0,146.0,63.0,3.0,73.0,135.0
lindeji01,1994,90,199.0,26.0,55.0,12.0,1.0,8.0,26.0,0.0,0.0,9.0,53.0,2.0,1.0,0.0,1.0,1.0
montgbo01,1979,90,248.0,31.0,72.0,10.0,3.0,5.0,32.0,1.0,1.0,15.0,65.0,2.0,1.0,2.0,3.0,6.0
wilsomo01,1991,726,2460.0,341.0,673.0,120.0,27.0,36.0,234.0,114.0,29.0,146.0,441.0,18.0,13.0,14.0,13.0,38.0
jonesru01,1987,664,1948.0,301.0,486.0,90.0,13.0,82.0,291.0,50.0,38.0,259.0,402.0,24.0,4.0,21.0,9.0,34.0
peraljh01,2015,1014,3737.0,418.0,999.0,216.0,10.0,109.0,514.0,9.0,15.0,336.0,758.0,17.0,21.0,4.0,39.0,119.0
whitalo01,1995,1707,6259.0,1043.0,1743.0,338.0,37.0,217.0,836.0,90.0,46.0,893.0,783.0,70.0,16.0,40.0,66.0,102.0
guzmacr01,2010,565,2105.0,269.0,588.0,96.0,28.0,23.0,178.0,23.0,16.0,99.0,292.0,11.0,13.0,19.0,11.0,41.0
ramirar01,2015,1572,5843.0,845.0,1701.0,371.0,18.0,295.0,1062.0,20.0,11.0,488.0,827.0,48.0,92.0,0.0,55.0,174.0
bosleth01,1990,490,775.0,100.0,219.0,29.0,8.0,15.0,99.0,18.0,4.0,85.0,149.0,11.0,0.0,3.0,11.0,14.0
hillaa01,2015,629,2270.0,283.0,601.0,136.0,13.0,61.0,286.0,47.0,21.0,175.0,352.0,10.0,22.0,3.0,25.0,56.0
randajo01,2006,800,2878.0,361.0,795.0,188.0,12.0,69.0,387.0,6.0,5.0,232.0,394.0,9.0,32.0,14.0,38.0,74.0
durhara01,2008,1077,3885.0,640.0,1074.0,253.0,38.0,115.0,504.0,97.0,39.0,449.0,612.0,24.0,33.0,27.0,36.0,96.0
hairsje02,2013,998,2849.0,382.0,736.0,154.0,11.0,46.0,284.0,66.0,37.0,240.0,372.0,8.0,49.0,52.0,25.0,47.0
jonesan01,2012,1369,4639.0,721.0,1141.0,229.0,13.0,284.0,824.0,46.0,22.0,597.0,1138.0,45.0,68.0,0.0,48.0,136.0
lairdge01,2015,425,1227.0,130.0,285.0,65.0,4.0,13.0,104.0,10.0,3.0,109.0,221.0,5.0,19.0,21.0,9.0,35.0
forscke01,1986,304,186.0,9.0,33.0,4.0,0.0,0.0,15.0,1.0,0.0,7.0,72.0,0.0,0.0,17.0,0.0,2.0
mendoma01,1982,214,523.0,46.0,123.0,12.0,4.0,2.0,36.0,5.0,5.0,23.0,71.0,0.0,1.0,26.0,4.0,15.0
damonjo01,2012,1687,6679.0,1164.0,1875.0,366.0,62.0,170.0,787.0,252.0,61.0,728.0,907.0,20.0,35.0,25.0,43.0,60.0
howarth01,2000,459,1019.0,112.0,260.0,53.0,12.0,23.0,124.0,10.0,8.0,70.0,174.0,4.0,9.0,3.0,6.0,16.0
alfoned01,2006,679,2435.0,305.0,658.0,118.0,4.0,59.0,311.0,19.0,3.0,251.0,236.0,15.0,24.0,7.0,23.0,54.0
herndla01,1988,1078,3605.0,460.0,997.0,142.0,56.0,96.0,454.0,55.0,31.0,261.0,587.0,16.0,11.0,11.0,35.0,102.0
clarkwi02,2000,1092,3908.0,650.0,1191.0,258.0,13.0,138.0,642.0,29.0,16.0,567.0,596.0,72.0,37.0,1.0,60.0,68.0
loneyja01,2015,561,1944.0,175.0,547.0,96.0,0.0,32.0,217.0,9.0,8.0,136.0,242.0,20.0,5.0,2.0,15.0,68.0
roberbi01,1998,713,2588.0,377.0,766.0,134.0,15.0,14.0,239.0,157.0,47.0,240.0,336.0,17.0,19.0,7.0,21.0,40.0
wilkiri01,2001,114,295.0,34.0,57.0,8.0,1.0,9.0,41.0,0.0,0.0,28.0,95.0,0.0,0.0,0.0,5.0,2.0
murraed02,1997,2138,7960.0,1127.0,2258.0,382.0,23.0,339.0,1331.0,78.0,28.0,979.0,1041.0,162.0,10.0,0.0,93.0,218.0
reynoma01,2015,405,1205.0,137.0,260.0,44.0,2.0,56.0,160.0,10.0,5.0,142.0,397.0,6.0,12.0,1.0,9.0,27.0
hollima01,2015,809,2964.0,483.0,871.0,201.0,5.0,123.0,499.0,27.0,13.0,386.0,553.0,31.0,57.0,0.0,18.0,110.0
osikke01,2005,152,370.0,28.0,78.0,15.0,0.0,4.0,32.0,0.0,1.0,37.0,78.0,0.0,4.0,2.0,2.0,10.0
brookhu01,1994,938,3326.0,393.0,890.0,171.0,13.0,108.0,505.0,30.0,29.0,225.0,601.0,32.0,19.0,0.0,41.0,91.0
remyje01,1984,419,1690.0,225.0,477.0,48.0,10.0,0.0,129.0,40.0,17.0,138.0,153.0,5.0,2.0,45.0,11.0,33.0
blaloha01,2010,214,783.0,107.0,198.0,43.0,5.0,38.0,111.0,4.0,1.0,51.0,163.0,5.0,5.0,0.0,6.0,17.0
bordepa01,2005,443,1282.0,109.0,317.0,54.0,4.0,19.0,103.0,4.0,9.0,59.0,245.0,3.0,6.0,13.0,2.0,28.0
oleartr01,2003,589,1897.0,247.0,499.0,103.0,16.0,62.0,288.0,6.0,9.0,173.0,318.0,15.0,15.0,5.0,18.0,56.0
reynoha01,1994,833,3036.0,434.0,789.0,147.0,28.0,15.0,246.0,121.0,72.0,342.0,266.0,10.0,19.0,46.0,25.0,45.0
coopece01,1987,1490,6019.0,821.0,1815.0,345.0,33.0,201.0,944.0,77.0,37.0,367.0,721.0,61.0,11.0,29.0,66.0,140.0
taverfr01,1982,741,2810.0,350.0,733.0,123.0,32.0,2.0,141.0,212.0,85.0,142.0,311.0,6.0,16.0,49.0,11.0,44.0
johnsre02,2015,601,1214.0,147.0,328.0,80.0,9.0,17.0,124.0,8.0,7.0,43.0,276.0,2.0,42.0,8.0,9.0,24.0
howelro02,1984,453,1430.0,154.0,370.0,66.0,19.0,28.0,170.0,1.0,6.0,117.0,231.0,15.0,11.0,9.0,11.0,31.0
venabma01,1991,387,718.0,97.0,185.0,40.0,9.0,9.0,73.0,25.0,7.0,59.0,118.0,6.0,2.0,19.0,8.0,10.0
hassero01,1991,671,1899.0,191.0,494.0,97.0,3.0,45.0,231.0,6.0,3.0,204.0,223.0,19.0,14.0,8.0,17.0,62.0
kneppbo01,1990,290,518.0,29.0,70.0,16.0,2.0,4.0,30.0,1.0,0.0,27.0,217.0,0.0,0.0,54.0,4.0,2.0
kempst01,1988,324,974.0,112.0,251.0,42.0,6.0,22.0,114.0,8.0,1.0,112.0,160.0,4.0,3.0,5.0,11.0,36.0
salazlu01,1992,655,1972.0,207.0,506.0,65.0,9.0,55.0,223.0,14.0,12.0,96.0,298.0,13.0,9.0,23.0,10.0,43.0
gagnegr01,1997,1230,3982.0,472.0,1028.0,210.0,28.0,73.0,436.0,65.0,69.0,265.0,756.0,18.0,20.0,52.0,27.0,86.0
harpebr01,1995,869,2866.0,314.0,862.0,177.0,6.0,52.0,392.0,7.0,17.0,125.0,157.0,26.0,41.0,11.0,37.0,99.0
randowi01,1992,1475,5390.0,796.0,1489.0,216.0,24.0,34.0,455.0,121.0,52.0,818.0,442.0,20.0,25.0,74.0,41.0,153.0
thompro01,1996,449,1629.0,238.0,419.0,89.0,6.0,48.0,165.0,21.0,18.0,169.0,349.0,2.0,24.0,33.0,9.0,26.0
almonbi01,1988,807,2009.0,246.0,509.0,94.0,12.0,32.0,215.0,81.0,40.0,155.0,381.0,6.0,6.0,15.0,26.0,32.0
gallada01,1995,261,526.0,74.0,142.0,30.0,2.0,9.0,54.0,1.0,3.0,60.0,56.0,3.0,1.0,11.0,2.0,17.0
grossgr01,1989,1140,1622.0,170.0,446.0,59.0,13.0,1.0,132.0,18.0,13.0,250.0,93.0,34.0,7.0,11.0,17.0,44.0
saltaja01,2015,314,998.0,137.0,243.0,75.0,0.0,34.0,133.0,4.0,2.0,121.0,351.0,7.0,4.0,1.0,8.0,23.0
schatda01,1991,353,127.0,13.0,32.0,5.0,2.0,3.0,12.0,0.0,0.0,9.0,41.0,0.0,0.0,7.0,0.0,2.0
darliro01,1995,216,145.0,10.0,18.0,5.0,0.0,2.0,10.0,0.0,0.0,4.0,56.0,0.0,1.0,16.0,0.0,0.0
jonesbo03,2002,91,150.0,12.0,20.0,2.0,0.0,1.0,4.0,0.0,0.0,6.0,54.0,0.0,1.0,11.0,0.0,2.0
counscr01,2011,1308,3915.0,537.0,989.0,175.0,32.0,35.0,312.0,95.0,45.0,485.0,557.0,26.0,45.0,40.0,30.0,62.0
jordabr01,2006,963,3418.0,509.0,961.0,179.0,20.0,125.0,545.0,50.0,22.0,254.0,535.0,15.0,44.0,0.0,41.0,85.0
hundlto01,2003,734,2301.0,326.0,545.0,106.0,3.0,152.0,412.0,7.0,9.0,332.0,681.0,43.0,19.0,3.0,20.0,42.0
navardi01,2015,418,1261.0,118.0,324.0,50.0,2.0,38.0,159.0,3.0,2.0,106.0,208.0,8.0,5.0,9.0,14.0,23.0
swishni01,2015,766,2757.0,368.0,699.0,155.0,5.0,112.0,397.0,6.0,7.0,378.0,708.0,12.0,22.0,6.0,26.0,67.0
grandcu01,2015,825,3003.0,516.0,733.0,134.0,27.0,161.0,443.0,74.0,25.0,410.0,841.0,12.0,33.0,11.0,27.0,25.0
martied01,2004,1534,5408.0,924.0,1686.0,392.0,7.0,264.0,1057.0,32.0,18.0,1048.0,969.0,98.0,68.0,3.0,61.0,140.0
lugoju01,2011,554,1808.0,236.0,464.0,88.0,11.0,24.0,176.0,83.0,26.0,169.0,315.0,0.0,11.0,25.0,15.0,40.0
mumphje01,1988,1063,3422.0,438.0,1008.0,157.0,33.0,62.0,441.0,108.0,38.0,334.0,483.0,41.0,1.0,18.0,31.0,86.0
barnesk01,1994,283,508.0,84.0,142.0,29.0,4.0,11.0,73.0,18.0,15.0,30.0,63.0,2.0,2.0,8.0,8.0,8.0
castilu01,2010,1162,4367.0,674.0,1284.0,125.0,39.0,22.0,327.0,189.0,73.0,525.0,457.0,13.0,10.0,100.0,20.0,93.0
cummimi01,2005,158,320.0,41.0,88.0,15.0,0.0,7.0,41.0,3.0,0.0,25.0,52.0,1.0,5.0,1.0,2.0,7.0
infanom01,2015,974,3545.0,401.0,992.0,170.0,35.0,50.0,377.0,46.0,19.0,187.0,447.0,8.0,8.0,40.0,37.0,70.0
bellhma01,2007,459,1339.0,191.0,305.0,78.0,6.0,35.0,166.0,14.0,7.0,226.0,462.0,3.0,10.0,2.0,11.0,18.0
murphda05,1993,1628,5967.0,929.0,1593.0,276.0,30.0,306.0,968.0,121.0,48.0,796.0,1314.0,134.0,22.0,0.0,46.0,161.0
millake01,2009,779,2645.0,360.0,691.0,155.0,2.0,86.0,352.0,3.0,5.0,348.0,475.0,8.0,48.0,0.0,24.0,68.0
bellja01,2003,1553,5586.0,861.0,1503.0,305.0,47.0,165.0,676.0,60.0,43.0,686.0,1101.0,24.0,47.0,76.0,45.0,124.0
richajr01,1980,128,322.0,26.0,56.0,3.0,3.0,6.0,26.0,2.0,2.0,3.0,94.0,0.0,1.0,31.0,1.0,7.0
gantro01,2003,1131,3863.0,678.0,981.0,171.0,27.0,210.0,645.0,112.0,43.0,537.0,928.0,21.0,15.0,6.0,35.0,64.0
vazquja01,2011,267,201.0,15.0,39.0,6.0,0.0,1.0,7.0,0.0,0.0,10.0,37.0,0.0,0.0,40.0,0.0,3.0
doranbi02,1993,671,2198.0,296.0,556.0,104.0,9.0,36.0,236.0,75.0,24.0,319.0,263.0,18.0,3.0,11.0,16.0,36.0
gomesjo01,2015,788,2192.0,309.0,538.0,97.0,4.0,96.0,342.0,20.0,9.0,266.0,675.0,14.0,48.0,1.0,32.0,34.0
sheetbe01,2012,84,128.0,3.0,9.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,57.0,0.0,0.0,15.0,0.0,0.0
wehnejo01,2001,200,290.0,37.0,67.0,10.0,0.0,2.0,22.0,5.0,1.0,30.0,47.0,0.0,1.0,6.0,1.0,9.0
ceronri01,1992,913,2671.0,242.0,654.0,120.0,5.0,34.0,259.0,4.0,12.0,221.0,308.0,6.0,16.0,31.0,29.0,89.0
claytro01,2007,1473,5098.0,692.0,1323.0,271.0,33.0,86.0,504.0,132.0,59.0,399.0,983.0,22.0,33.0,93.0,44.0,163.0
matthga01,1987,1291,4417.0,676.0,1230.0,194.0,22.0,153.0,618.0,108.0,42.0,598.0,723.0,21.0,12.0,9.0,47.0,117.0
reyesjo01,2015,807,3362.0,497.0,985.0,182.0,46.0,57.0,311.0,189.0,44.0,253.0,361.0,26.0,4.0,22.0,23.0,41.0
sweenry01,2014,210,603.0,63.0,156.0,41.0,4.0,9.0,55.0,1.0,0.0,44.0,107.0,2.0,2.0,5.0,3.0,8.0
fernato01,2001,1431,5167.0,695.0,1456.0,274.0,57.0,69.0,570.0,156.0,95.0,505.0,561.0,40.0,48.0,45.0,45.0,114.0
braunry02,2015,336,1261.0,185.0,352.0,71.0,11.0,53.0,203.0,39.0,14.0,122.0,284.0,14.0,10.0,0.0,7.0,45.0
davisal01,1992,325,1060.0,107.0,268.0,44.0,1.0,29.0,153.0,0.0,5.0,154.0,155.0,21.0,4.0,0.0,20.0,19.0
sojolu01,2003,412,1160.0,124.0,294.0,45.0,4.0,12.0,122.0,10.0,3.0,56.0,97.0,3.0,4.0,19.0,5.0,35.0
frandke01,2015,286,678.0,69.0,184.0,28.0,4.0,8.0,57.0,1.0,1.0,28.0,76.0,2.0,23.0,5.0,3.0,23.0
rodrial01,2015,2077,7769.0,1509.0,2279.0,381.0,20.0,539.0,1592.0,208.0,44.0,1114.0,1725.0,93.0,151.0,0.0,87.0,204.0
blumge01,2012,707,1910.0,194.0,467.0,94.0,7.0,43.0,227.0,4.0,7.0,153.0,310.0,14.0,17.0,5.0,22.0,40.0
felizpe01,2010,738,2574.0,277.0,637.0,124.0,13.0,73.0,350.0,4.0,5.0,143.0,345.0,13.0,6.0,6.0,22.0,72.0
gracema01,2003,1339,4664.0,723.0,1412.0,324.0,23.0,113.0,693.0,21.0,23.0,663.0,382.0,63.0,21.0,6.0,60.0,111.0
bayja01,2013,507,1723.0,261.0,415.0,76.0,10.0,73.0,263.0,42.0,6.0,239.0,482.0,11.0,18.0,2.0,17.0,33.0
beltrca01,2015,1580,5881.0,954.0,1629.0,366.0,35.0,284.0,978.0,161.0,29.0,737.0,1052.0,86.0,30.0,12.0,66.0,117.0
randlle01,1982,530,1797.0,232.0,471.0,68.0,22.0,16.0,130.0,79.0,53.0,203.0,210.0,16.0,5.0,19.0,11.0,39.0
soderer01,1980,487,1549.0,218.0,419.0,64.0,7.0,66.0,222.0,4.0,7.0,144.0,144.0,10.0,10.0,9.0,14.0,51.0
martida01,2001,1218,3633.0,513.0,1011.0,159.0,40.0,55.0,383.0,88.0,53.0,395.0,522.0,28.0,19.0,35.0,24.0,64.0
torreru01,1980,215,363.0,52.0,81.0,9.0,1.0,14.0,43.0,1.0,5.0,47.0,69.0,1.0,2.0,10.0,1.0,7.0
simpsjo01,1983,287,703.0,87.0,160.0,27.0,9.0,4.0,61.0,21.0,18.0,48.0,110.0,6.0,5.0,11.0,4.0,5.0
herrto01,1991,952,3342.0,400.0,897.0,172.0,17.0,22.0,396.0,111.0,28.0,421.0,392.0,33.0,15.0,32.0,35.0,60.0
vailmi01,1984,177,315.0,17.0,73.0,13.0,1.0,6.0,41.0,0.0,0.0,15.0,66.0,1.0,2.0,0.0,2.0,9.0
guillca01,2011,817,3008.0,469.0,892.0,186.0,35.0,95.0,449.0,59.0,34.0,327.0,492.0,33.0,17.0,5.0,27.0,83.0
macksh01,1998,338,1145.0,165.0,339.0,73.0,7.0,34.0,168.0,29.0,9.0,97.0,187.0,3.0,19.0,6.0,10.0,33.0
pettiga01,1992,599,1766.0,272.0,404.0,50.0,26.0,8.0,116.0,168.0,57.0,271.0,445.0,0.0,5.0,34.0,5.0,30.0
